Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,R,G,B
2.32208,0,0,0,0,0,0,0,0,0,0.0305357,0.308095,-0.0012844,0.376356,-0.47003,0.18094,-0.0230512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.33375,0,0,0,0,0,0,0,0,0.9,-0.0406111,-0.14692,0.00358004,-0.4741,0.48648,-0.168226,0.0199283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3496,0,0,0,0,0,0,0,0,0,0.0433114,0.338466,-0.00161479,0.299996,-0.386254,0.148497,-0.0187643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.55813,0,0,0,0,0,0,0,0,1,0.014942,-0.16907,0.00204799,-0.327794,0.303934,-0.0942034,0.0100088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.50247,0,0,0,0,0,0,0,0,0,0.033612,0.368945,-0.0010784,0.238695,-0.303809,0.111415,-0.0133185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.47766,0,0,0,0,0,0,0,0,1.1,-0.0412419,-0.189586,0.00200538,-0.368864,0.359294,-0.116127,0.0128292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.54545,0,0,0,0,0,0,0,0,0,0.033107,0.399053,-0.00141302,0.24647,-0.311432,0.112868,-0.0133089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.62295,0,0,0,0,0,0,0,0,1.2,-0.0482999,-0.184607,0.00412699,-0.291504,0.263113,-0.0787217,0.00806562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.65047,0,0,0,0,0,0,0,0,0,0.0415313,0.432037,-0.00210833,0.189448,-0.247973,0.0880005,-0.0100431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.72275,0,0,0,0,0,0,0,0,1.3,-0.0998499,-0.214806,0.0096883,-0.331291,0.310744,-0.0956892,0.00997297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.93006,0,0,0,0,0,0,0,0,0,0.11789,0.306788,-0.00775107,0.192339,-0.193912,0.0587592,-0.00585989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.73472,0,0,0,0,0,0,0,0,1.4,-0.210745,-0.244996,0.0438121,-0.406486,0.394864,-0.127549,0.0138156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
